Class,item,score,methods,substantive
625,produce_poor,0,0,CP
625,produce_ok,50,0,CP
625,produce_good,50,0,CP
625,analysis_poor,0,0,CP
625,analysis_ok,50,0,CP
625,analysis_good,50,0,CP
625,design_poor,0,0,CP
625,design_ok,50,0,CP
625,design_good,50,0,CP
625,critique_poor,0,0,CP
625,critique_ok,0,0,CP
625,critique_good,100,0,CP
650,produce_poor,10,0,CP
650,produce_ok,0,0,CP
650,produce_good,10,0,CP
650,analysis_poor,0,0,CP
650,analysis_ok,0,0,CP
650,analysis_good,0,0,CP
650,design_poor,0,0,CP
650,design_ok,0,0,CP
650,design_good,0,0,CP
650,critique_poor,0,0,CP
650,critique_ok,0,0,CP
650,critique_good,0,0,CP
667,produce_poor,0,0,IR
667,produce_ok,50,0,IR
667,produce_good,50,0,IR
667,analysis_poor,0,0,IR
667,analysis_ok,50,0,IR
667,analysis_good,50,0,IR
667,design_poor,0,0,IR
667,design_ok,50,0,IR
667,design_good,50,0,IR
667,critique_poor,0,0,IR
667,critique_ok,50,0,IR
670,produce_poor,20,0,IR
670,produce_ok,40,0,IR
670,produce_good,40,0,IR
670,analysis_poor,20,0,IR
670,analysis_ok,40,0,IR
670,analysis_good,40,0,IR
670,design_poor,20,0,IR
670,design_ok,0,0,IR
670,design_good,80,0,IR
670,critique_poor,0,0,IR
670,critique_ok,40,0,IR
670,critique_good,60,0,IR
671,produce_poor,25,0,IR
671,produce_ok,75,0,IR
671,produce_good,0,0,IR
671,analysis_poor,0,0,IR
671,analysis_ok,100,0,IR
671,analysis_good,0,0,IR
671,design_poor,25,0,IR
671,design_ok,75,0,IR
671,design_good,0,0,IR
671,critique_poor,0,0,IR
671,critique_ok,100,0,IR
671,critique_good,0,0,IR
680,produce_poor,0,1,RM
680,produce_ok,0,1,RM
680,produce_good,0,1,RM
680,analysis_poor,0,1,RM
680,analysis_ok,0,1,RM
680,analysis_good,0,1,RM
680,design_poor,0,1,RM
680,design_ok,0,1,RM
680,design_good,0,1,RM
680,critique_poor,0,1,RM
680,critique_ok,0,1,RM
680,critique_good,0,1,RM
681,produce_poor,20,1,RM
681,produce_ok,30,1,RM
681,produce_good,20,1,RM
681,analysis_poor,10,1,RM
681,analysis_ok,50,1,RM
681,analysis_good,10,1,RM
681,design_poor,10,1,RM
681,design_ok,50,1,RM
681,design_good,10,1,RM
681,critique_poor,10,1,RM
681,critique_ok,40,1,RM
681,critique_good,20,1,RM
682,produce_poor,10,1,RM
682,produce_ok,70,1,RM
682,produce_good,20,1,RM
682,analysis_poor,20,1,RM
682,analysis_ok,50,1,RM
682,analysis_good,30,1,RM
682,design_poor,10,1,RM
682,design_ok,60,1,RM
682,design_good,30,1,RM
682,critique_poor,0,1,RM
682,critique_ok,50,1,RM
682,critique_good,50,1,RM
684,produce_poor,0,1,RM
684,produce_ok,40,1,RM
684,produce_good,60,1,RM
684,analysis_poor,0,1,RM
684,analysis_ok,40,1,RM
684,analysis_good,60,1,RM
684,design_poor,0,1,RM
684,design_ok,70,1,RM
684,design_good,30,1,RM
684,critique_poor,0,1,RM
684,critique_ok,20,1,RM
684,critique_good,80,1,RM
685,produce_poor,0,1,RM
685,produce_poor,0,0,CP
685,produce_poor,0,1,RM
685,produce_ok,0,1,RM
685,produce_ok,0,0,CP
685,produce_ok,0,1,RM
685,produce_good,0,1,RM
685,produce_good,0,0,CP
685,produce_good,0,1,RM
685,analysis_poor,0,1,RM
685,analysis_poor,0,0,CP
685,analysis_poor,0,1,RM
685,analysis_ok,0,1,RM
685,analysis_ok,0,0,CP
685,analysis_ok,0,1,RM
685,analysis_good,0,1,RM
685,analysis_good,0,0,CP
685,analysis_good,0,1,RM
685,design_poor,0,1,RM
685,design_poor,0,0,CP
685,design_poor,0,1,RM
685,design_ok,0,1,RM
685,design_ok,0,0,CP
685,design_ok,0,1,RM
685,design_good,0,1,RM
685,design_good,0,0,CP
685,design_good,0,1,RM
685,critique_poor,0,1,RM
685,critique_poor,0,0,CP
685,critique_poor,0,1,RM
685,critique_ok,0,1,RM
685,critique_ok,0,0,CP
685,critique_ok,0,1,RM
685,critique_good,0,1,RM
685,critique_good,0,0,CP
685,critique_good,0,1,RM
697(B),produce_poor,0,1,PRO
697(B),produce_ok,0,1,PRO
697(B),produce_good,0,1,PRO
697(B),analysis_poor,0,1,PRO
697(B),analysis_ok,0,1,PRO
697(B),analysis_good,0,1,PRO
697(B),design_poor,0,1,PRO
697(B),design_ok,0,1,PRO
697(B),design_good,0,1,PRO
697(B),critique_poor,0,1,PRO
697(B),critique_ok,0,1,PRO
697(B),critique_good,0,1,PRO
697A,produce_poor,0,0,PRO
697A,produce_poor,0,0,RM
697A,produce_ok,50,0,PRO
697A,produce_ok,10,0,RM
697A,produce_good,50,0,PRO
697A,produce_good,20,0,RM
697A,analysis_poor,0,0,PRO
697A,analysis_poor,0,0,RM
697A,analysis_ok,50,0,PRO
697A,analysis_ok,10,0,RM
697A,analysis_good,50,0,PRO
697A,analysis_good,20,0,RM
697A,design_poor,0,0,PRO
697A,design_poor,0,0,RM
697A,design_ok,50,0,PRO
697A,design_ok,20,0,RM
697A,design_good,50,0,PRO
697A,design_good,10,0,RM
697A,critique_poor,0,0,PRO
697A,critique_poor,0,0,RM
697A,critique_ok,50,0,PRO
697A,critique_ok,20,0,RM
697A,critique_good,50,0,PRO
697A,critique_good,10,0,RM